Lp.;Nazwa repozytorium;Nazwa zmiany;Data publikacji;Link URL
19;comments-bifrost;feat: add TekGuide.se publication (#224);2020-02-27T10:16:38Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/a60ac7d4bea217a4182321eb33841ede59c8869f
20;comment-rules-service;feat: add TekGuide.se publication (#63);2020-02-27T10:21:25Z;https://github.schibsted.io/bergens-tidende/comment-rules-service/commit/991a53b0b2d1a3ee89b274aae02f56961f453f2b
21;comments-api;feat: add TekGuide.se publication (#372);2020-02-27T10:29:15Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/ea1a85c2cabb0818015be845fae156a9ba4999d5
22;comments-moderation-dashboard;feat: add TekGuide.se publication (#319);2020-02-27T10:38:22Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/6bdcfc187c1161c135631439c96f5e8065ff8668
23;comments-front;feat: add TekGuide.se publication (#450);2020-02-27T10:41:38Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/934793ff9ec9366d6b08aec6de3b91669ee1b5ef
24;garmr;feat: add TekGuide.se publication (#76);2020-02-27T10:41:49Z;https://github.schibsted.io/bergens-tidende/garmr/commit/b2b1f9ec254b9270a419c9995b981ca03013724a
25;moderation-service;feat: add TekGuide.se publication (#140);2020-02-27T10:41:59Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/03eb3bb3b0adc2ee9c7fb8696e671a1b16e669ab
26;comments-bifrost;chore: Re-enable deployment on production (#226);2020-02-27T10:59:27Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/5aa2bf186a96fbeea6e6704ddde9aef46dee6fe0
27;comments-bifrost;fix: secrets for tekse (#228);2020-02-27T11:42:13Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/2147b959ca31aae1628c095aa37dd9fec58797a3
28;comments-bifrost;fix: Value of API SECRET for adressa (#227);2020-02-27T11:59:16Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/9b99ff3cd814c2cdc62005c548cfae610ee54644
29;comments-bifrost;fix: adressa secrets for stage env (#229);2020-02-27T12:30:09Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/f683cc36989ee6b0bf275a12977ebe45909edcb7
